SDIE v4 RAG Pipeline — Inizio Slab with tag.dxf
Processed: 2026-06-05T10:18:43.067619+00:00
Components classified: 5809
Graph: 5809 nodes, 8402 edges

Slabs detected: 697
Total area:      44267.978 m²
Total concrete:  9198.433 m³
Total shuttering:44267.978 m²

Benchmark overall accuracy: 0.0%
  SLAB-001: 77.708 m², 200 mm (local_thk_label), 15.542 m³
  SLAB-002: 84.644 m², 200 mm (local_thk_label), 16.929 m³
  SLAB-003: 13.313 m², 200 mm (local_thk_label), 2.663 m³
  SLAB-004: 3.820 m², 200 mm (local_thk_label), 0.764 m³
  SLAB-005: 215.006 m², 200 mm (local_thk_label), 43.001 m³
  SLAB-006: 838.350 m², 200 mm (local_thk_label), 167.670 m³
  SLAB-007: 47.627 m², 200 mm (local_thk_label), 9.525 m³
  SLAB-008: 33.754 m², 200 mm (local_thk_label), 6.751 m³
  SLAB-009: 59.933 m², 200 mm (local_thk_label), 11.987 m³
  SLAB-010: 8.703 m², 200 mm (local_thk_label), 1.741 m³
  SLAB-011: 15.037 m², 200 mm (local_thk_label), 3.007 m³
  SLAB-012: 15.289 m², 200 mm (local_thk_label), 3.058 m³
  SLAB-013: 43.165 m², 200 mm (local_thk_label), 8.633 m³
  SLAB-014: 5.934 m², 200 mm (local_thk_label), 1.187 m³
  SLAB-015: 61.217 m², 200 mm (local_thk_label), 12.243 m³
  SLAB-016: 72.833 m², 200 mm (local_thk_label), 14.567 m³
  SLAB-017: 64.180 m², 200 mm (local_thk_label), 12.836 m³
  SLAB-018: 43.002 m², 200 mm (local_thk_label), 8.600 m³
  SLAB-019: 32.880 m², 200 mm (local_thk_label), 6.576 m³
  SLAB-020: 44.249 m², 200 mm (local_thk_label), 8.850 m³
  SLAB-021: 27.021 m², 200 mm (local_thk_label), 5.404 m³
  SLAB-022: 33.965 m², 200 mm (local_thk_label), 6.793 m³
  SLAB-023: 3.626 m², 200 mm (local_thk_label), 0.725 m³
  SLAB-024: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-025: 33.437 m², 200 mm (local_thk_label), 6.687 m³
  SLAB-026: 29.012 m², 200 mm (local_thk_label), 5.802 m³
  SLAB-027: 86.018 m², 200 mm (local_thk_label), 17.204 m³
  SLAB-028: 297.508 m², 200 mm (local_thk_label), 59.502 m³
  SLAB-029: 26.499 m², 200 mm (local_thk_label), 5.300 m³
  SLAB-030: 636.960 m², 200 mm (local_thk_label), 127.392 m³
  SLAB-031: 1093.620 m², 200 mm (local_thk_label), 218.724 m³
  SLAB-032: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-033: 17.492 m², 200 mm (local_thk_label), 3.498 m³
  SLAB-034: 9.917 m², 200 mm (local_thk_label), 1.983 m³
  SLAB-035: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-036: 17.073 m², 200 mm (local_thk_label), 3.415 m³
  SLAB-037: 7.220 m², 200 mm (local_thk_label), 1.444 m³
  SLAB-038: 11.604 m², 200 mm (local_thk_label), 2.321 m³
  SLAB-039: 2.231 m², 200 mm (local_thk_label), 0.446 m³
  SLAB-040: 2.149 m², 200 mm (local_thk_label), 0.430 m³
  SLAB-041: 12.446 m², 200 mm (local_thk_label), 2.489 m³
  SLAB-042: 1.925 m², 200 mm (local_thk_label), 0.385 m³
  SLAB-043: 0.448 m², 200 mm (local_thk_label), 0.090 m³
  SLAB-044: 1.063 m², 200 mm (local_thk_label), 0.213 m³
  SLAB-045: 1.028 m², 200 mm (local_thk_label), 0.206 m³
  SLAB-046: 1.129 m², 200 mm (local_thk_label), 0.226 m³
  SLAB-047: 24.226 m², 200 mm (local_thk_label), 4.845 m³
  SLAB-048: 14.904 m², 200 mm (local_thk_label), 2.981 m³
  SLAB-049: 17.667 m², 200 mm (local_thk_label), 3.533 m³
  SLAB-050: 16.339 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-051: 8.411 m², 200 mm (local_thk_label), 1.682 m³
  SLAB-052: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-053: 20.432 m², 200 mm (local_thk_label), 4.086 m³
  SLAB-054: 31.428 m², 200 mm (local_thk_label), 6.286 m³
  SLAB-055: 82.479 m², 200 mm (local_thk_label), 16.496 m³
  SLAB-056: 28.228 m², 200 mm (local_thk_label), 5.646 m³
  SLAB-057: 28.188 m², 200 mm (local_thk_label), 5.638 m³
  SLAB-058: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-059: 31.614 m², 200 mm (local_thk_label), 6.323 m³
  SLAB-060: 20.224 m², 200 mm (local_thk_label), 4.045 m³
  SLAB-061: 12.295 m², 200 mm (local_thk_label), 2.459 m³
  SLAB-062: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-063: 62.563 m², 200 mm (local_thk_label), 12.513 m³
  SLAB-064: 19.295 m², 200 mm (local_thk_label), 3.859 m³
  SLAB-065: 137.102 m², 200 mm (local_thk_label), 27.420 m³
  SLAB-066: 71.456 m², 200 mm (local_thk_label), 14.291 m³
  SLAB-067: 74.981 m², 200 mm (local_thk_label), 14.996 m³
  SLAB-068: 65.395 m², 200 mm (local_thk_label), 13.079 m³
  SLAB-069: 45.262 m², 200 mm (local_thk_label), 9.052 m³
  SLAB-070: 1395.205 m², 200 mm (local_thk_label), 279.041 m³
  SLAB-071: 48.214 m², 200 mm (local_thk_label), 9.643 m³
  SLAB-072: 19.234 m², 200 mm (local_thk_label), 3.847 m³
  SLAB-073: 55.605 m², 200 mm (local_thk_label), 11.121 m³
  SLAB-074: 16.421 m², 200 mm (local_thk_label), 3.284 m³
  SLAB-075: 44.745 m², 200 mm (local_thk_label), 8.949 m³
  SLAB-076: 22.841 m², 200 mm (local_thk_label), 4.568 m³
  SLAB-077: 59.583 m², 200 mm (local_thk_label), 11.917 m³
  SLAB-078: 49.110 m², 200 mm (local_thk_label), 9.822 m³
  SLAB-079: 63.056 m², 200 mm (local_thk_label), 12.611 m³
  SLAB-080: 73.859 m², 200 mm (local_thk_label), 14.772 m³
  SLAB-081: 35.195 m², 200 mm (local_thk_label), 7.039 m³
  SLAB-082: 101.227 m², 200 mm (local_thk_label), 20.245 m³
  SLAB-083: 2.231 m², 200 mm (local_thk_label), 0.446 m³
  SLAB-084: 81.974 m², 200 mm (local_thk_label), 16.395 m³
  SLAB-085: 115.830 m², 200 mm (local_thk_label), 23.166 m³
  SLAB-086: 376.873 m², 200 mm (local_thk_label), 75.375 m³
  SLAB-087: 33.430 m², 200 mm (local_thk_label), 6.686 m³
  SLAB-088: 846.483 m², 200 mm (local_thk_label), 169.297 m³
  SLAB-089: 1406.551 m², 200 mm (local_thk_label), 281.310 m³
  SLAB-090: 3.506 m², 200 mm (local_thk_label), 0.701 m³
  SLAB-091: 17.492 m², 200 mm (local_thk_label), 3.498 m³
  SLAB-092: 9.917 m², 200 mm (local_thk_label), 1.983 m³
  SLAB-093: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-094: 0.406 m², 200 mm (local_thk_label), 0.081 m³
  SLAB-095: 12.446 m², 200 mm (local_thk_label), 2.489 m³
  SLAB-096: 1.925 m², 200 mm (local_thk_label), 0.385 m³
  SLAB-097: 0.448 m², 200 mm (local_thk_label), 0.090 m³
  SLAB-098: 1.063 m², 200 mm (local_thk_label), 0.213 m³
  SLAB-099: 1.028 m², 200 mm (local_thk_label), 0.206 m³
  SLAB-100: 1.128 m², 200 mm (local_thk_label), 0.226 m³
  SLAB-101: 24.226 m², 200 mm (local_thk_label), 4.845 m³
  SLAB-102: 14.904 m², 200 mm (local_thk_label), 2.981 m³
  SLAB-103: 17.667 m², 200 mm (local_thk_label), 3.533 m³
  SLAB-104: 16.339 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-105: 8.411 m², 200 mm (local_thk_label), 1.682 m³
  SLAB-106: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-107: 20.432 m², 200 mm (local_thk_label), 4.086 m³
  SLAB-108: 31.428 m², 200 mm (local_thk_label), 6.286 m³
  SLAB-109: 82.479 m², 200 mm (local_thk_label), 16.496 m³
  SLAB-110: 28.228 m², 200 mm (local_thk_label), 5.646 m³
  SLAB-111: 28.377 m², 200 mm (local_thk_label), 5.675 m³
  SLAB-112: 1.328 m², 200 mm (local_thk_label), 0.266 m³
  SLAB-113: 15.174 m², 200 mm (local_thk_label), 3.035 m³
  SLAB-114: 3.715 m², 200 mm (local_thk_label), 0.743 m³
  SLAB-115: 109.528 m², 200 mm (local_thk_label), 21.906 m³
  SLAB-116: 136.132 m², 200 mm (local_thk_label), 27.226 m³
  SLAB-117: 51.067 m², 200 mm (local_thk_label), 10.213 m³
  SLAB-118: 58.985 m², 200 mm (local_thk_label), 11.797 m³
  SLAB-119: 22.693 m², 200 mm (local_thk_label), 4.539 m³
  SLAB-120: 14.520 m², 200 mm (local_thk_label), 2.904 m³
  SLAB-121: 27.769 m², 200 mm (local_thk_label), 5.554 m³
  SLAB-122: 21.571 m², 200 mm (local_thk_label), 4.314 m³
