SDIE v4 RAG Pipeline — Trust office Slab & Beam with tag.dxf
Processed: 2026-06-05T11:15:34.905028+00:00
Components classified: 7287
Graph: 7287 nodes, 8324 edges

Slabs detected: 5330
Total area:      137828.113 m²
Total concrete:  27547.887 m³
Total shuttering:137828.113 m²

Benchmark overall accuracy: 0.0%
  SLAB-001: 15.086 m², 200 mm (default_note), 3.017 m³
  SLAB-002: 7.927 m², 200 mm (default_note), 1.585 m³
  SLAB-003: 15.859 m², 200 mm (default_note), 3.172 m³
  SLAB-004: 5.383 m², 200 mm (default_note), 1.077 m³
  SLAB-005: 2.409 m², 200 mm (default_note), 0.482 m³
  SLAB-006: 6.487 m², 200 mm (default_note), 1.297 m³
  SLAB-007: 15.178 m², 200 mm (default_note), 3.036 m³
  SLAB-008: 7.319 m², 200 mm (default_note), 1.464 m³
  SLAB-009: 21.377 m², 200 mm (default_note), 4.275 m³
  SLAB-010: 52.045 m², 200 mm (default_note), 10.409 m³
  SLAB-011: 2.918 m², 200 mm (default_note), 0.584 m³
  SLAB-012: 7.910 m², 200 mm (default_note), 1.582 m³
  SLAB-013: 8.572 m², 200 mm (default_note), 1.714 m³
  SLAB-014: 3.629 m², 200 mm (default_note), 0.726 m³
  SLAB-015: 2.461 m², 200 mm (default_note), 0.492 m³
  SLAB-016: 5.932 m², 200 mm (default_note), 1.186 m³
  SLAB-017: 5.383 m², 200 mm (default_note), 1.077 m³
  SLAB-018: 3.487 m², 200 mm (default_note), 0.697 m³
  SLAB-019: 2.614 m², 200 mm (default_note), 0.523 m³
  SLAB-020: 5.069 m², 200 mm (default_note), 1.014 m³
  SLAB-021: 2.338 m², 200 mm (default_note), 0.468 m³
  SLAB-022: 6.805 m², 200 mm (default_note), 1.361 m³
  SLAB-023: 3.556 m², 200 mm (default_note), 0.711 m³
  SLAB-024: 7.999 m², 200 mm (default_note), 1.600 m³
  SLAB-025: 6.945 m², 200 mm (default_note), 1.389 m³
  SLAB-026: 10.934 m², 200 mm (default_note), 2.187 m³
  SLAB-027: 3.487 m², 200 mm (default_note), 0.697 m³
  SLAB-028: 8.509 m², 200 mm (default_note), 1.702 m³
  SLAB-029: 2.857 m², 200 mm (default_note), 0.571 m³
  SLAB-030: 2.918 m², 200 mm (default_note), 0.584 m³
  SLAB-031: 2.784 m², 200 mm (default_note), 0.557 m³
  SLAB-032: 7.908 m², 200 mm (default_note), 1.582 m³
  SLAB-033: 5.925 m², 200 mm (default_note), 1.185 m³
  SLAB-034: 2.376 m², 200 mm (default_note), 0.475 m³
  SLAB-035: 3.634 m², 200 mm (default_note), 0.727 m³
  SLAB-036: 2.461 m², 200 mm (default_note), 0.492 m³
  SLAB-037: 5.932 m², 200 mm (default_note), 1.186 m³
  SLAB-038: 5.383 m², 200 mm (default_note), 1.077 m³
  SLAB-039: 3.495 m², 200 mm (default_note), 0.699 m³
  SLAB-040: 2.551 m², 200 mm (default_note), 0.510 m³
  SLAB-041: 2.267 m², 200 mm (default_note), 0.453 m³
  SLAB-042: 3.356 m², 200 mm (default_note), 0.671 m³
  SLAB-043: 2.346 m², 200 mm (default_note), 0.469 m³
  SLAB-044: 6.799 m², 200 mm (default_note), 1.360 m³
  SLAB-045: 3.569 m², 200 mm (default_note), 0.714 m³
  SLAB-046: 7.599 m², 200 mm (default_note), 1.520 m³
  SLAB-047: 1.813 m², 200 mm (default_note), 0.363 m³
  SLAB-048: 5.906 m², 200 mm (default_note), 1.181 m³
  SLAB-049: 10.934 m², 200 mm (default_note), 2.187 m³
  SLAB-050: 3.495 m², 200 mm (default_note), 0.699 m³
  SLAB-051: 6.432 m², 200 mm (default_note), 1.286 m³
  SLAB-052: 2.692 m², 200 mm (default_note), 0.538 m³
  SLAB-053: 1.630 m², 200 mm (default_note), 0.326 m³
  SLAB-054: 1.196 m², 200 mm (default_note), 0.239 m³
  SLAB-055: 6.836 m², 200 mm (default_note), 1.367 m³
  SLAB-056: 7.125 m², 200 mm (default_note), 1.425 m³
  SLAB-057: 2.373 m², 200 mm (default_note), 0.475 m³
  SLAB-058: 2.385 m², 200 mm (default_note), 0.477 m³
  SLAB-059: 1.377 m², 200 mm (default_note), 0.275 m³
  SLAB-060: 1.866 m², 200 mm (default_note), 0.373 m³
  SLAB-061: 3.114 m², 200 mm (default_note), 0.623 m³
  SLAB-062: 2.749 m², 200 mm (default_note), 0.550 m³
  SLAB-063: 2.095 m², 200 mm (default_note), 0.419 m³
  SLAB-064: 9.779 m², 200 mm (default_note), 1.956 m³
  SLAB-065: 2.648 m², 200 mm (default_note), 0.530 m³
  SLAB-066: 3.308 m², 200 mm (default_note), 0.662 m³
  SLAB-067: 1.924 m², 200 mm (default_note), 0.385 m³
  SLAB-068: 2.975 m², 200 mm (default_note), 0.595 m³
  SLAB-069: 3.274 m², 200 mm (default_note), 0.655 m³
  SLAB-070: 4.976 m², 200 mm (default_note), 0.995 m³
  SLAB-071: 7.182 m², 200 mm (default_note), 1.436 m³
  SLAB-072: 6.907 m², 200 mm (default_note), 1.381 m³
  SLAB-073: 3.114 m², 200 mm (default_note), 0.623 m³
  SLAB-074: 4.464 m², 200 mm (default_note), 0.893 m³
  SLAB-075: 8.079 m², 200 mm (default_note), 1.616 m³
  SLAB-076: 16.479 m², 200 mm (default_note), 3.296 m³
  SLAB-077: 14.822 m², 175 mm (175THK), 2.594 m³
  SLAB-078: 3.664 m², 175 mm (175THK), 0.641 m³
  SLAB-079: 16.627 m², 200 mm (default_note), 3.325 m³
  SLAB-080: 5.362 m², 200 mm (default_note), 1.072 m³
  SLAB-081: 4.933 m², 200 mm (default_note), 0.987 m³
  SLAB-082: 11.484 m², 200 mm (default_note), 2.297 m³
  SLAB-083: 5.362 m², 200 mm (default_note), 1.072 m³
  SLAB-084: 5.649 m², 200 mm (default_note), 1.130 m³
  SLAB-085: 2.968 m², 200 mm (default_note), 0.594 m³
  SLAB-086: 5.939 m², 200 mm (default_note), 1.188 m³
  SLAB-087: 2.016 m², 200 mm (default_note), 0.403 m³
  SLAB-088: 0.902 m², 200 mm (default_note), 0.180 m³
  SLAB-089: 2.429 m², 200 mm (default_note), 0.486 m³
  SLAB-090: 5.684 m², 200 mm (default_note), 1.137 m³
  SLAB-091: 2.741 m², 200 mm (default_note), 0.548 m³
  SLAB-092: 8.005 m², 200 mm (default_note), 1.601 m³
  SLAB-093: 19.731 m², 200 mm (default_note), 3.946 m³
  SLAB-094: 1.282 m², 200 mm (default_note), 0.256 m³
  SLAB-095: 3.001 m², 200 mm (default_note), 0.600 m³
  SLAB-096: 4.222 m², 200 mm (default_note), 0.844 m³
  SLAB-097: 1.828 m², 200 mm (default_note), 0.366 m³
  SLAB-098: 0.922 m², 200 mm (default_note), 0.184 m³
  SLAB-099: 2.221 m², 200 mm (default_note), 0.444 m³
  SLAB-100: 2.016 m², 200 mm (default_note), 0.403 m³
  SLAB-101: 1.306 m², 200 mm (default_note), 0.261 m³
  SLAB-102: 0.979 m², 200 mm (default_note), 0.196 m³
  SLAB-103: 2.248 m², 200 mm (default_note), 0.450 m³
  SLAB-104: 0.973 m², 200 mm (default_note), 0.195 m³
  SLAB-105: 2.807 m², 200 mm (default_note), 0.561 m³
  SLAB-106: 1.332 m², 200 mm (default_note), 0.266 m³
  SLAB-107: 2.995 m², 200 mm (default_note), 0.599 m³
  SLAB-108: 2.601 m², 200 mm (default_note), 0.520 m³
  SLAB-109: 4.095 m², 200 mm (default_note), 0.819 m³
  SLAB-110: 1.306 m², 200 mm (default_note), 0.261 m³
  SLAB-111: 3.229 m², 200 mm (default_note), 0.646 m³
  SLAB-112: 1.255 m², 200 mm (default_note), 0.251 m³
  SLAB-113: 1.137 m², 200 mm (default_note), 0.227 m³
  SLAB-114: 1.229 m², 200 mm (default_note), 0.246 m³
  SLAB-115: 3.001 m², 200 mm (default_note), 0.600 m³
  SLAB-116: 2.935 m², 200 mm (default_note), 0.587 m³
  SLAB-117: 1.426 m², 200 mm (default_note), 0.285 m³
  SLAB-118: 1.831 m², 200 mm (default_note), 0.366 m³
  SLAB-119: 0.922 m², 200 mm (default_note), 0.184 m³
  SLAB-120: 2.221 m², 200 mm (default_note), 0.444 m³
  SLAB-121: 2.016 m², 200 mm (default_note), 0.403 m³
  SLAB-122: 1.309 m², 200 mm (default_note), 0.262 m³
  SLAB-123: 0.955 m², 200 mm (default_note), 0.191 m³
  SLAB-124: 0.887 m², 200 mm (default_note), 0.177 m³
  SLAB-125: 1.518 m², 200 mm (default_note), 0.304 m³
  SLAB-126: 0.979 m², 200 mm (default_note), 0.196 m³
  SLAB-127: 2.805 m², 200 mm (default_note), 0.561 m³
  SLAB-128: 1.336 m², 200 mm (default_note), 0.267 m³
  SLAB-129: 2.846 m², 200 mm (default_note), 0.569 m³
  SLAB-130: 0.679 m², 200 mm (default_note), 0.136 m³
  SLAB-131: 2.212 m², 200 mm (default_note), 0.442 m³
  SLAB-132: 4.095 m², 200 mm (default_note), 0.819 m³
  SLAB-133: 1.309 m², 200 mm (default_note), 0.262 m³
  SLAB-134: 2.613 m², 200 mm (default_note), 0.523 m³
  SLAB-135: 1.051 m², 200 mm (default_note), 0.210 m³
  SLAB-136: 0.691 m², 200 mm (default_note), 0.138 m³
  SLAB-137: 0.567 m², 200 mm (default_note), 0.113 m³
  SLAB-138: 2.612 m², 200 mm (default_note), 0.522 m³
  SLAB-139: 3.387 m², 200 mm (default_note), 0.677 m³
  SLAB-140: 1.424 m², 200 mm (default_note), 0.285 m³
  SLAB-141: 1.317 m², 200 mm (default_note), 0.263 m³
  SLAB-142: 0.596 m², 200 mm (default_note), 0.119 m³
  SLAB-143: 0.701 m², 200 mm (default_note), 0.140 m³
  SLAB-144: 1.166 m², 200 mm (default_note), 0.233 m³
  SLAB-145: 1.030 m², 200 mm (default_note), 0.206 m³
  SLAB-146: 0.784 m², 200 mm (default_note), 0.157 m³
  SLAB-147: 3.662 m², 200 mm (default_note), 0.732 m³
  SLAB-148: 1.030 m², 200 mm (default_note), 0.206 m³
  SLAB-149: 1.493 m², 200 mm (default_note), 0.299 m³
  SLAB-150: 0.802 m², 200 mm (default_note), 0.160 m³
  SLAB-151: 1.344 m², 200 mm (default_note), 0.269 m³
  SLAB-152: 1.305 m², 200 mm (default_note), 0.261 m³
  SLAB-153: 1.863 m², 200 mm (default_note), 0.373 m³
  SLAB-154: 2.689 m², 200 mm (default_note), 0.538 m³
  SLAB-155: 2.587 m², 200 mm (default_note), 0.517 m³
  SLAB-156: 1.166 m², 200 mm (default_note), 0.233 m³
  SLAB-157: 1.672 m², 200 mm (default_note), 0.334 m³
  SLAB-158: 3.025 m², 200 mm (default_note), 0.605 m³
  SLAB-159: 6.360 m², 200 mm (default_note), 1.272 m³
  SLAB-160: 6.172 m², 175 mm (175THK), 1.080 m³
