SDIE v4 RAG Pipeline — TrustOffice_FF_LayerTest_RAG.dxf
Processed: 2026-06-05T12:16:27.460611+00:00
Components classified: 675
Graph: 675 nodes, 774 edges

Slabs detected: 107
Total area:      572.658 m²
Total concrete:  85.899 m³
Total shuttering:572.658 m²

  SLAB-001: 3.906 m², 150 mm (default_note), 0.586 m³
  SLAB-002: 3.891 m², 150 mm (default_note), 0.584 m³
  SLAB-003: 10.543 m², 150 mm (default_note), 1.581 m³
  SLAB-004: 11.372 m², 150 mm (default_note), 1.706 m³
  SLAB-005: 8.665 m², 150 mm (default_note), 1.300 m³
  SLAB-006: 14.504 m², 150 mm (default_note), 2.176 m³
  SLAB-007: 4.636 m², 150 mm (default_note), 0.695 m³
  SLAB-008: 9.411 m², 150 mm (default_note), 1.412 m³
  SLAB-009: 4.652 m², 150 mm (default_note), 0.698 m³
  SLAB-010: 6.721 m², 150 mm (default_note), 1.008 m³
  SLAB-011: 4.768 m², 150 mm (default_note), 0.715 m³
  SLAB-012: 6.889 m², 150 mm (default_note), 1.033 m³
  SLAB-013: 2.202 m², 150 mm (default_note), 0.330 m³
  SLAB-014: 2.528 m², 150 mm (default_note), 0.379 m³
  SLAB-015: 0.843 m², 150 mm (default_note), 0.127 m³
  SLAB-016: 1.264 m², 150 mm (default_note), 0.190 m³
  SLAB-017: 0.897 m², 150 mm (default_note), 0.135 m³
  SLAB-018: 1.296 m², 150 mm (default_note), 0.194 m³
  SLAB-019: 0.414 m², 150 mm (default_note), 0.062 m³
  SLAB-020: 0.433 m², 150 mm (default_note), 0.065 m³
  SLAB-021: 4.616 m², 150 mm (default_note), 0.692 m³
  SLAB-022: 6.659 m², 150 mm (default_note), 0.999 m³
  SLAB-023: 4.724 m², 150 mm (default_note), 0.709 m³
  SLAB-024: 6.826 m², 150 mm (default_note), 1.024 m³
  SLAB-025: 2.182 m², 150 mm (default_note), 0.327 m³
  SLAB-026: 2.494 m², 150 mm (default_note), 0.374 m³
  SLAB-027: 4.007 m², 150 mm (default_note), 0.601 m³
