SDIE v4 RAG Pipeline — TrustOffice_FF_LayerTest_RAG.dxf
Processed: 2026-06-06T04:27:32.988978+00:00
Components classified: 675
Graph: 675 nodes, 774 edges

Slabs detected: 60
Total area:      559.989 m²
Total concrete:  83.998 m³
Total shuttering:559.989 m²

  SLAB-001: 3.906 m², 150 mm (default_note), 0.586 m³
  SLAB-002: 13.985 m², 150 mm (default_note), 2.098 m³
  SLAB-003: 11.372 m², 150 mm (default_note), 1.706 m³
  SLAB-004: 8.665 m², 150 mm (default_note), 1.300 m³
  SLAB-005: 14.504 m², 150 mm (default_note), 2.176 m³
  SLAB-006: 13.542 m², 150 mm (default_note), 2.031 m³
  SLAB-007: 9.729 m², 150 mm (default_note), 1.459 m³
  SLAB-008: 13.966 m², 150 mm (default_note), 2.095 m³
  SLAB-009: 9.908 m², 150 mm (default_note), 1.486 m³
  SLAB-010: 14.315 m², 150 mm (default_note), 2.147 m³
  SLAB-011: 9.301 m², 150 mm (default_note), 1.395 m³
  SLAB-012: 4.007 m², 150 mm (default_note), 0.601 m³
  SLAB-013: 7.373 m², 150 mm (default_note), 1.106 m³
  SLAB-014: 7.489 m², 150 mm (default_note), 1.123 m³
  SLAB-015: 8.008 m², 150 mm (default_note), 1.201 m³
  SLAB-016: 11.924 m², 150 mm (default_note), 1.789 m³
  SLAB-017: 14.107 m², 150 mm (default_note), 2.116 m³
  SLAB-018: 2.167 m², 150 mm (default_note), 0.325 m³
  SLAB-019: 8.439 m², 150 mm (default_note), 1.266 m³
  SLAB-020: 12.452 m², 150 mm (default_note), 1.868 m³
  SLAB-021: 3.226 m², 150 mm (default_note), 0.484 m³
  SLAB-022: 9.412 m², 150 mm (default_note), 1.412 m³
  SLAB-023: 1.054 m², 150 mm (default_note), 0.158 m³
  SLAB-024: 5.756 m², 150 mm (default_note), 0.863 m³
  SLAB-025: 6.628 m², 150 mm (default_note), 0.994 m³
  SLAB-026: 11.376 m², 150 mm (default_note), 1.706 m³
  SLAB-027: 12.773 m², 150 mm (default_note), 1.916 m³
  SLAB-028: 18.635 m², 150 mm (default_note), 2.795 m³
  SLAB-029: 2.136 m², 150 mm (default_note), 0.320 m³
  SLAB-030: 0.901 m², 150 mm (default_note), 0.135 m³
  SLAB-031: 4.757 m², 150 mm (default_note), 0.714 m³
  SLAB-032: 11.404 m², 150 mm (default_note), 1.711 m³
  SLAB-033: 8.973 m², 150 mm (default_note), 1.346 m³
  SLAB-034: 2.544 m², 150 mm (default_note), 0.382 m³
  SLAB-035: 5.941 m², 150 mm (default_note), 0.891 m³
  SLAB-036: 15.913 m², 150 mm (default_note), 2.387 m³
  SLAB-037: 14.829 m², 150 mm (default_note), 2.224 m³
  SLAB-038: 10.520 m², 150 mm (default_note), 1.578 m³
  SLAB-039: 15.199 m², 150 mm (default_note), 2.280 m³
  SLAB-040: 15.377 m², 150 mm (default_note), 2.306 m³
  SLAB-041: 5.941 m², 150 mm (default_note), 0.891 m³
  SLAB-042: 15.913 m², 150 mm (default_note), 2.387 m³
  SLAB-043: 14.829 m², 150 mm (default_note), 2.224 m³
  SLAB-044: 10.520 m², 150 mm (default_note), 1.578 m³
  SLAB-045: 15.200 m², 150 mm (default_note), 2.280 m³
  SLAB-046: 15.377 m², 150 mm (default_note), 2.307 m³
  SLAB-047: 9.679 m², 150 mm (default_note), 1.452 m³
  SLAB-048: 5.846 m², 150 mm (default_note), 0.877 m³
  SLAB-049: 5.571 m², 150 mm (default_note), 0.836 m³
  SLAB-050: 14.252 m², 150 mm (default_note), 2.138 m³
  SLAB-051: 9.251 m², 150 mm (default_note), 1.388 m³
  SLAB-052: 3.901 m², 150 mm (default_note), 0.585 m³
  SLAB-053: 14.340 m², 150 mm (default_note), 2.151 m³
  SLAB-054: 10.299 m², 150 mm (default_note), 1.545 m³
  SLAB-055: 3.325 m², 150 mm (default_note), 0.499 m³
  SLAB-056: 4.235 m², 150 mm (default_note), 0.635 m³
  SLAB-057: 9.487 m², 150 mm (default_note), 1.423 m³
  SLAB-058: 10.951 m², 150 mm (default_note), 1.643 m³
  SLAB-059: 3.062 m², 150 mm (default_note), 0.459 m³
  SLAB-060: 1.496 m², 150 mm (default_note), 0.224 m³
