SDIE v5 Structural Reasoning Pipeline — Inizio - Slab beam_Raw_Revised1.dxf
Processed: 2026-06-08T08:53:09.186988+00:00
Components classified: 8961
Graph: 8961 nodes, 12526 edges
Review queue: 8961 entities (100.0% below 75.0%)

Slabs detected: 983
Total area:      29001.013 m²
Total concrete:  6172.664 m³
Total shuttering:29001.013 m²

  SLAB-001: 270.080 m², 275 mm (local_thk_label), 74.272 m³
  SLAB-002: 23.196 m², 275 mm (local_thk_label), 6.379 m³
  SLAB-003: 418.888 m², 210 mm (local_thk_label), 87.967 m³
  SLAB-004: 133.905 m², 210 mm (local_thk_label), 28.120 m³
  SLAB-005: 178.315 m², 210 mm (local_thk_label), 37.446 m³
  SLAB-006: 151.591 m², 210 mm (local_thk_label), 31.834 m³
  SLAB-007: 238.415 m², 275 mm (local_thk_label), 65.564 m³
  SLAB-008: 28.793 m², 275 mm (local_thk_label), 7.918 m³
  SLAB-009: 436.978 m², 210 mm (local_thk_label), 91.765 m³
  SLAB-010: 112.343 m², 210 mm (local_thk_label), 23.592 m³
  SLAB-011: 117.744 m², 210 mm (local_thk_label), 24.726 m³
  SLAB-012: 162.679 m², 210 mm (local_thk_label), 34.163 m³
  SLAB-013: 142.389 m², 250 mm (local_thk_label), 35.597 m³
  SLAB-014: 265.826 m², 200 mm (local_thk_label), 53.165 m³
  SLAB-015: 379.650 m², 200 mm (local_thk_label), 75.930 m³
  SLAB-016: 246.747 m², 200 mm (local_thk_label), 49.349 m³
  SLAB-017: 364.099 m², 200 mm (local_thk_label), 72.820 m³
  SLAB-018: 108.315 m², 250 mm (local_thk_label), 27.079 m³
  SLAB-019: 162.437 m², 250 mm (local_thk_label), 40.609 m³
  SLAB-020: 115.325 m², 250 mm (local_thk_label), 28.831 m³
  SLAB-021: 172.648 m², 250 mm (local_thk_label), 43.162 m³
  SLAB-022: 423.693 m², 275 mm (local_thk_label), 116.516 m³
  SLAB-023: 74.277 m², 200 mm (local_thk_label), 14.855 m³
  SLAB-024: 40.946 m², 275 mm (local_thk_label), 11.260 m³
  SLAB-025: 30.943 m², 275 mm (local_thk_label), 8.509 m³
  SLAB-026: 83.008 m², 275 mm (local_thk_label), 22.827 m³
  SLAB-027: 2642.851 m², 210 mm (local_thk_label), 554.999 m³
  SLAB-028: 40.851 m², 210 mm (local_thk_label), 8.579 m³
  SLAB-029: 169.849 m², 210 mm (local_thk_label), 35.668 m³
  SLAB-030: 88.398 m², 210 mm (local_thk_label), 18.564 m³
  SLAB-031: 1299.738 m², 210 mm (local_thk_label), 272.945 m³
  SLAB-032: 35.270 m², 275 mm (local_thk_label), 9.699 m³
  SLAB-033: 36.721 m², 275 mm (local_thk_label), 10.098 m³
  SLAB-034: 87.132 m², 275 mm (local_thk_label), 23.961 m³
  SLAB-035: 21.152 m², 210 mm (local_thk_label), 4.442 m³
  SLAB-036: 38.428 m², 210 mm (local_thk_label), 8.070 m³
  SLAB-037: 149.293 m², 210 mm (local_thk_label), 31.352 m³
  SLAB-038: 115.467 m², 210 mm (local_thk_label), 24.248 m³
  SLAB-039: 924.904 m², 210 mm (local_thk_label), 194.230 m³
  SLAB-040: 333.080 m², 275 mm (local_thk_label), 91.597 m³
  SLAB-041: 94.432 m², 275 mm (local_thk_label), 25.969 m³
  SLAB-042: 95.112 m², 275 mm (local_thk_label), 26.156 m³
  SLAB-043: 291.490 m², 275 mm (local_thk_label), 80.160 m³
  SLAB-044: 430.259 m², 275 mm (local_thk_label), 118.321 m³
  SLAB-045: 69.057 m², 200 mm (local_thk_label), 13.811 m³
  SLAB-046: 75.023 m², 200 mm (local_thk_label), 15.005 m³
  SLAB-047: 153.194 m², 200 mm (local_thk_label), 30.639 m³
  SLAB-048: 401.614 m², 200 mm (local_thk_label), 80.323 m³
  SLAB-049: 71.295 m², 200 mm (local_thk_label), 14.259 m³
  SLAB-050: 155.318 m², 200 mm (local_thk_label), 31.064 m³
  SLAB-051: 300.478 m², 200 mm (local_thk_label), 60.096 m³
  SLAB-052: 299.197 m², 200 mm (local_thk_label), 59.839 m³
  SLAB-053: 45.142 m², 200 mm (local_thk_label), 9.028 m³
  SLAB-054: 43.960 m², 200 mm (local_thk_label), 8.792 m³
  SLAB-055: 304.674 m², 200 mm (local_thk_label), 60.935 m³
  SLAB-056: 319.420 m², 200 mm (local_thk_label), 63.884 m³
