SDIE v5 Structural Reasoning Pipeline — Inizio_B2_LayerTest_V6.dxf
Processed: 2026-06-08T08:49:47.998968+00:00
Components classified: 649
Graph: 649 nodes, 923 edges
Review queue: 649 entities (100.0% below 75.0%)

Slabs detected: 70
Total area:      2373.120 m²
Total concrete:  520.230 m³
Total shuttering:2373.120 m²

  SLAB-001: 36.164 m², 200 mm (local_thk_label), 7.233 m³
  SLAB-002: 99.215 m², 200 mm (local_thk_label), 19.843 m³
  SLAB-003: 68.260 m², 200 mm (local_thk_label), 13.652 m³
  SLAB-004: 37.009 m², 200 mm (local_thk_label), 7.402 m³
  SLAB-005: 11.876 m², 200 mm (local_thk_label), 2.375 m³
  SLAB-006: 56.402 m², 200 mm (local_thk_label), 11.280 m³
  SLAB-007: 3.814 m², 200 mm (local_thk_label), 0.763 m³
  SLAB-008: 3.996 m², 200 mm (local_thk_label), 0.799 m³
  SLAB-009: 10.589 m², 200 mm (local_thk_label), 2.118 m³
  SLAB-010: 15.850 m², 200 mm (local_thk_label), 3.170 m³
  SLAB-011: 2.294 m², 200 mm (local_thk_label), 0.459 m³
  SLAB-012: 3.639 m², 200 mm (local_thk_label), 0.728 m³
  SLAB-013: 129.766 m², 200 mm (local_thk_label), 25.953 m³
  SLAB-014: 1.073 m², 200 mm (local_thk_label), 0.215 m³
  SLAB-015: 4.002 m², 200 mm (local_thk_label), 0.800 m³
  SLAB-016: 0.610 m², 200 mm (local_thk_label), 0.122 m³
  SLAB-017: 0.862 m², 200 mm (local_thk_label), 0.172 m³
  SLAB-018: 18.575 m², 200 mm (local_thk_label), 3.715 m³
  SLAB-019: 16.743 m², 200 mm (local_thk_label), 3.349 m³
  SLAB-020: 27.726 m², 200 mm (local_thk_label), 5.545 m³
  SLAB-021: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-022: 41.609 m², 200 mm (local_thk_label), 8.322 m³
  SLAB-023: 32.252 m², 200 mm (local_thk_label), 6.450 m³
  SLAB-024: 27.155 m², 200 mm (local_thk_label), 5.431 m³
  SLAB-025: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-026: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-027: 20.984 m², 200 mm (local_thk_label), 4.197 m³
  SLAB-028: 3.791 m², 200 mm (local_thk_label), 0.758 m³
  SLAB-029: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-030: 1.313 m², 200 mm (local_thk_label), 0.263 m³
  SLAB-031: 16.341 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-032: 0.510 m², 200 mm (local_thk_label), 0.102 m³
  SLAB-033: 4.080 m², 200 mm (local_thk_label), 0.816 m³
  SLAB-034: 40.656 m², 200 mm (local_thk_label), 8.131 m³
  SLAB-035: 18.485 m², 200 mm (local_thk_label), 3.697 m³
  SLAB-036: 19.014 m², 200 mm (local_thk_label), 3.803 m³
  SLAB-037: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-038: 4.093 m², 200 mm (local_thk_label), 0.819 m³
  SLAB-039: 57.693 m², 200 mm (local_thk_label), 11.539 m³
  SLAB-040: 36.575 m², 200 mm (local_thk_label), 7.315 m³
  SLAB-041: 65.530 m², 200 mm (local_thk_label), 13.106 m³
  SLAB-042: 38.463 m², 200 mm (local_thk_label), 7.693 m³
  SLAB-043: 1.685 m², 200 mm (local_thk_label), 0.337 m³
  SLAB-044: 4.596 m², 200 mm (local_thk_label), 0.919 m³
  SLAB-045: 5.050 m², 200 mm (local_thk_label), 1.010 m³
  SLAB-046: 39.819 m², 200 mm (local_thk_label), 7.964 m³
  SLAB-047: 11.381 m², 200 mm (local_thk_label), 2.276 m³
  SLAB-048: 16.213 m², 200 mm (local_thk_label), 3.243 m³
  SLAB-049: 242.812 m², 200 mm (local_thk_label), 48.562 m³
  SLAB-050: 65.057 m², 200 mm (local_thk_label), 13.011 m³
  SLAB-051: 88.916 m², 200 mm (local_thk_label), 17.783 m³
  SLAB-052: 122.187 m², 200 mm (local_thk_label), 24.437 m³
  SLAB-053: 26.068 m², 200 mm (local_thk_label), 5.214 m³
  SLAB-054: 2.294 m², 200 mm (local_thk_label), 0.459 m³
  SLAB-055: 100.430 m², 275 mm (local_thk_label), 27.618 m³
  SLAB-056: 91.280 m², 275 mm (local_thk_label), 25.102 m³
  SLAB-057: 148.007 m², 275 mm (local_thk_label), 40.702 m³
  SLAB-058: 55.027 m², 275 mm (local_thk_label), 15.132 m³
  SLAB-059: 107.951 m², 275 mm (local_thk_label), 29.686 m³
  SLAB-060: 105.392 m², 275 mm (local_thk_label), 28.983 m³
  SLAB-061: 14.633 m², 200 mm (local_thk_label), 2.927 m³
  SLAB-062: 10.056 m², 200 mm (local_thk_label), 2.011 m³
  SLAB-063: 38.787 m², 200 mm (local_thk_label), 7.757 m³
  SLAB-064: 0.479 m², 200 mm (local_thk_label), 0.096 m³
  SLAB-065: 0.409 m², 200 mm (local_thk_label), 0.082 m³
  SLAB-066: 3.996 m², 200 mm (local_thk_label), 0.799 m³
  SLAB-067: 24.182 m², 200 mm (local_thk_label), 4.836 m³
  SLAB-068: 14.982 m², 200 mm (local_thk_label), 2.996 m³
  SLAB-069: 1.023 m², 200 mm (default_note), 0.205 m³
  SLAB-070: 7.752 m², 200 mm (default_note), 1.550 m³
