SDIE v5 Structural Reasoning Pipeline — Inizio_B2_LayerTest_V5.dxf
Processed: 2026-06-08T04:22:43.542797+00:00
Components classified: 647
Graph: 647 nodes, 782 edges
Review queue: 647 entities (100.0% below 75.0%)

Slabs detected: 70
Total area:      2336.403 m²
Total concrete:  512.070 m³
Total shuttering:2336.403 m²

  SLAB-001: 36.098 m², 200 mm (local_thk_label), 7.220 m³
  SLAB-002: 97.330 m², 200 mm (local_thk_label), 19.466 m³
  SLAB-003: 63.417 m², 200 mm (local_thk_label), 12.683 m³
  SLAB-004: 37.009 m², 200 mm (local_thk_label), 7.402 m³
  SLAB-005: 11.858 m², 200 mm (local_thk_label), 2.372 m³
  SLAB-006: 55.729 m², 200 mm (local_thk_label), 11.146 m³
  SLAB-007: 3.814 m², 200 mm (local_thk_label), 0.763 m³
  SLAB-008: 3.911 m², 200 mm (local_thk_label), 0.782 m³
  SLAB-009: 10.504 m², 200 mm (local_thk_label), 2.101 m³
  SLAB-010: 15.850 m², 200 mm (local_thk_label), 3.170 m³
  SLAB-011: 2.294 m², 200 mm (local_thk_label), 0.459 m³
  SLAB-012: 3.546 m², 200 mm (local_thk_label), 0.709 m³
  SLAB-013: 129.498 m², 200 mm (local_thk_label), 25.900 m³
  SLAB-014: 1.073 m², 200 mm (local_thk_label), 0.215 m³
  SLAB-015: 4.002 m², 200 mm (local_thk_label), 0.800 m³
  SLAB-016: 0.610 m², 200 mm (local_thk_label), 0.122 m³
  SLAB-017: 0.862 m², 200 mm (local_thk_label), 0.172 m³
  SLAB-018: 18.575 m², 200 mm (local_thk_label), 3.715 m³
  SLAB-019: 16.743 m², 200 mm (local_thk_label), 3.349 m³
  SLAB-020: 27.506 m², 200 mm (local_thk_label), 5.501 m³
  SLAB-021: 2.106 m², 200 mm (local_thk_label), 0.421 m³
  SLAB-022: 41.206 m², 200 mm (local_thk_label), 8.241 m³
  SLAB-023: 32.252 m², 200 mm (local_thk_label), 6.450 m³
  SLAB-024: 27.155 m², 200 mm (local_thk_label), 5.431 m³
  SLAB-025: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-026: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-027: 20.984 m², 200 mm (local_thk_label), 4.197 m³
  SLAB-028: 3.791 m², 200 mm (local_thk_label), 0.758 m³
  SLAB-029: 0.418 m², 200 mm (local_thk_label), 0.084 m³
  SLAB-030: 1.313 m², 200 mm (local_thk_label), 0.263 m³
  SLAB-031: 16.341 m², 200 mm (local_thk_label), 3.268 m³
  SLAB-032: 0.510 m², 200 mm (local_thk_label), 0.102 m³
  SLAB-033: 2.947 m², 200 mm (local_thk_label), 0.589 m³
  SLAB-034: 40.486 m², 200 mm (local_thk_label), 8.097 m³
  SLAB-035: 18.485 m², 200 mm (local_thk_label), 3.697 m³
  SLAB-036: 19.014 m², 200 mm (local_thk_label), 3.803 m³
  SLAB-037: 42.291 m², 200 mm (local_thk_label), 8.458 m³
  SLAB-038: 4.093 m², 200 mm (local_thk_label), 0.819 m³
  SLAB-039: 56.653 m², 200 mm (local_thk_label), 11.331 m³
  SLAB-040: 36.065 m², 200 mm (local_thk_label), 7.213 m³
  SLAB-041: 65.530 m², 200 mm (local_thk_label), 13.106 m³
  SLAB-042: 38.463 m², 200 mm (local_thk_label), 7.693 m³
  SLAB-043: 1.685 m², 200 mm (local_thk_label), 0.337 m³
  SLAB-044: 4.596 m², 200 mm (local_thk_label), 0.919 m³
  SLAB-045: 5.050 m², 200 mm (local_thk_label), 1.010 m³
  SLAB-046: 39.819 m², 200 mm (local_thk_label), 7.964 m³
  SLAB-047: 11.381 m², 200 mm (local_thk_label), 2.276 m³
  SLAB-048: 16.213 m², 200 mm (local_thk_label), 3.243 m³
  SLAB-049: 240.296 m², 200 mm (local_thk_label), 48.059 m³
  SLAB-050: 58.369 m², 200 mm (local_thk_label), 11.674 m³
  SLAB-051: 86.971 m², 200 mm (local_thk_label), 17.394 m³
  SLAB-052: 120.649 m², 200 mm (local_thk_label), 24.130 m³
  SLAB-053: 25.507 m², 200 mm (local_thk_label), 5.101 m³
  SLAB-054: 2.294 m², 200 mm (local_thk_label), 0.459 m³
  SLAB-055: 100.211 m², 275 mm (local_thk_label), 27.558 m³
  SLAB-056: 89.676 m², 275 mm (local_thk_label), 24.661 m³
  SLAB-057: 143.336 m², 275 mm (local_thk_label), 39.417 m³
  SLAB-058: 55.027 m², 275 mm (local_thk_label), 15.132 m³
  SLAB-059: 106.572 m², 275 mm (local_thk_label), 29.307 m³
  SLAB-060: 102.366 m², 275 mm (local_thk_label), 28.151 m³
  SLAB-061: 14.625 m², 200 mm (local_thk_label), 2.925 m³
  SLAB-062: 10.056 m², 200 mm (local_thk_label), 2.011 m³
  SLAB-063: 38.787 m², 200 mm (local_thk_label), 7.757 m³
  SLAB-064: 0.479 m², 200 mm (local_thk_label), 0.096 m³
  SLAB-065: 0.409 m², 200 mm (local_thk_label), 0.082 m³
  SLAB-066: 3.996 m², 200 mm (local_thk_label), 0.799 m³
  SLAB-067: 24.182 m², 200 mm (local_thk_label), 4.836 m³
  SLAB-068: 14.982 m², 200 mm (local_thk_label), 2.996 m³
  SLAB-069: 1.023 m², 200 mm (default_note), 0.205 m³
  SLAB-070: 6.680 m², 200 mm (default_note), 1.336 m³
